,Entry,Fix,Gotobi,Total Pips,PF,Trades
0,0:00,0:50,False,-549.5999999999347,0.9117562056453009,1496
1,0:00,0:50,True,-407.6999999999681,0.6840269704720036,287
2,0:00,0:54,False,-980.8000000000166,0.8482250626721519,1491
3,0:00,0:54,True,-429.40000000001953,0.6679811335343566,289
4,0:00,0:55,False,-1231.4999999999466,0.814923354373317,1496
5,0:00,0:55,True,-481.300000000022,0.6318366098064573,288
6,0:15,0:50,False,-1447.5999999999365,0.7636417072135421,1499
7,0:15,0:50,True,-623.5999999999626,0.5216324025775004,285
8,0:15,0:54,False,-1849.8000000000106,0.7077263390741007,1491
9,0:15,0:54,True,-639.4000000000115,0.5131719202070888,287
10,0:15,0:55,False,-2086.399999999946,0.6815483004411153,1498
11,0:15,0:55,True,-664.7000000000148,0.4915863545969007,286
12,0:30,0:50,False,-2052.7999999998915,0.6584700362692739,1516
13,0:30,0:50,True,-746.7999999999613,0.42000621310968883,293
14,0:30,0:54,False,-2459.199999999964,0.6062192759123195,1512
15,0:30,0:54,True,-773.2000000000096,0.4085519773579132,295
16,0:30,0:55,False,-2682.19999999991,0.5850300142335673,1516
17,0:30,0:55,True,-778.5000000000189,0.3973991795030537,293
18,0:45,0:50,False,-2122.2999999998624,0.6092967599411132,1513
19,0:45,0:50,True,-749.7999999999699,0.3641451831750637,293
20,0:45,0:54,False,-2532.3999999999337,0.567096310984999,1507
21,0:45,0:54,True,-773.3000000000158,0.3628573782648067,295
22,0:45,0:55,False,-2780.0999999998776,0.5437372809033187,1512
23,0:45,0:55,True,-796.9000000000215,0.3484055600981131,293
24,1:00,1:50,False,-1255.6999999999584,0.8493768517518973,1543
25,1:00,1:50,True,-124.39999999996871,0.9165548698685474,300
26,1:00,1:54,False,-587.899999999914,0.9280310449515333,1544
27,1:00,1:54,True,-19.099999999950114,0.9868411987599376,298
28,1:00,1:55,False,-711.6000000001256,0.9145810075983869,1546
29,1:00,1:55,True,-64.10000000002753,0.9567505566425835,300
30,1:15,1:50,False,-1158.5999999999694,0.8478369362506936,1543
31,1:15,1:50,True,-271.8999999999568,0.8204095112285614,300
32,1:15,1:54,False,-477.2999999999259,0.9358519474236047,1544
33,1:15,1:54,True,-156.0999999999392,0.893686576312781,298
34,1:15,1:55,False,-611.5000000001365,0.9197011279923142,1546
35,1:15,1:55,True,-211.6000000000156,0.8595233353249585,300
36,1:30,1:50,False,-1441.4999999999404,0.7994518489663118,1543
37,1:30,1:50,True,-382.8999999999837,0.7334307992202859,300
38,1:30,1:54,False,-758.6999999998982,0.8918198280410214,1544
39,1:30,1:54,True,-267.79999999996664,0.8071716589861967,298
40,1:30,1:55,False,-892.2000000001083,0.8755926153159542,1546
41,1:30,1:55,True,-322.60000000004254,0.775003487236688,300
42,1:45,1:50,False,-1455.7999999999304,0.7653373738676409,1543
43,1:45,1:50,True,-383.19999999994536,0.6951714262986666,300
44,1:45,1:54,False,-777.1999999998885,0.8748832866480099,1544
45,1:45,1:54,True,-267.0999999999292,0.7873915466051613,298
46,1:45,1:55,False,-911.7000000000977,0.8569657985566225,1546
47,1:45,1:55,True,-322.9000000000042,0.7473000469557034,300
48,2:00,2:50,False,-1395.6000000000122,0.867588876554805,1546
49,2:00,2:50,True,188.900000000001,1.1101136694841156,300
50,2:00,2:54,False,-686.7000000000102,0.9341332872928169,1545
51,2:00,2:54,True,101.6999999999939,1.0580015968974523,300
52,2:00,2:55,False,-1672.400000000058,0.8462811132762188,1546
53,2:00,2:55,True,-233.30000000000837,0.8763908021617002,300
54,2:15,2:50,False,-1329.9999999999882,0.8623373666069798,1545
55,2:15,2:50,True,-9.49999999999136,0.9942864016358988,300
56,2:15,2:54,False,-620.7999999999873,0.9353016581034478,1544
57,2:15,2:54,True,-96.69999999999845,0.9436906772258794,300
58,2:15,2:55,False,-1607.6000000000347,0.8398437889157848,1545
59,2:15,2:55,True,-431.7000000000007,0.7694526034712953,300
60,2:30,2:50,False,-1035.1000000000276,0.8790629746465681,1546
61,2:30,2:50,True,156.39999999998793,1.1128997329098298,300
62,2:30,2:54,False,-326.2000000000254,0.9623103675374615,1545
63,2:30,2:54,True,69.19999999998083,1.0461148873783683,300
64,2:30,2:55,False,-1311.900000000073,0.856203347472947,1546
65,2:30,2:55,True,-265.80000000002144,0.8397830018083076,300
66,2:45,2:50,False,-1099.9999999999736,0.8537486870620804,1546
67,2:45,2:50,True,136.89999999999145,1.1124804864020958,300
68,2:45,2:54,False,-391.0999999999715,0.9505831216911198,1545
69,2:45,2:54,True,49.69999999998436,1.0364690343410503,300
70,2:45,2:55,False,-1376.8000000000193,0.8356805270444441,1546
71,2:45,2:55,True,-285.3000000000179,0.8140398904966653,300
72,3:00,3:50,False,-1575.3999999999187,0.8544839880661054,1546
73,3:00,3:50,True,179.40000000000396,1.0947351745260616,300
74,3:00,3:54,False,-1674.1999999999698,0.8482676116332419,1546
75,3:00,3:54,True,140.7000000000039,1.0710283204603992,300
76,3:00,3:55,False,-2578.599999999982,0.7758596710823699,1546
77,3:00,3:55,True,-297.10000000001173,0.8643812480029159,300
78,3:15,3:50,False,-1045.899999999917,0.8884373333333422,1546
79,3:15,3:50,True,163.10000000000002,1.099022524436888,300
80,3:15,3:54,False,-1144.6999999999682,0.8815231116355163,1546
81,3:15,3:54,True,124.39999999999998,1.0717168223221492,300
82,3:15,3:55,False,-2049.0999999999804,0.7976497309040653,1546
83,3:15,3:55,True,-313.40000000001567,0.8394960565399905,300
84,3:30,3:50,False,-1342.6999999999373,0.8421188782409381,1546
85,3:30,3:50,True,173.50000000000705,1.1204359294738349,300
86,3:30,3:54,False,-1441.4999999999884,0.8382880861566084,1546
87,3:30,3:54,True,134.800000000007,1.0893721408207966,300
88,3:30,3:55,False,-2345.900000000001,0.7507437630158522,1546
89,3:30,3:55,True,-303.00000000000864,0.8268076593312326,300
90,3:45,3:50,False,-992.4999999999293,0.858378162412075,1546
91,3:45,3:50,True,274.60000000000946,1.2421730311314996,300
92,3:45,3:54,False,-1091.2999999999804,0.858994237279378,1546
93,3:45,3:54,True,235.9000000000094,1.1811271498771583,300
94,3:45,3:55,False,-1995.6999999999928,0.7588219654855712,1546
95,3:45,3:55,True,-201.90000000000623,0.8658650013287225,300
96,4:00,4:50,False,-1320.6999999999903,0.8610096715462909,1546
97,4:00,4:50,True,-702.299999999974,0.6349222851796158,300
98,4:00,4:54,False,-902.1999999999216,0.9041955591424189,1546
99,4:00,4:54,True,-543.4999999999633,0.7105963791267474,300
100,4:00,4:55,False,-1151.0999999999704,0.8790047931382473,1546
101,4:00,4:55,True,-574.4999999999891,0.6937633262260203,300
102,4:15,4:50,False,-1090.700000000026,0.8702474423031138,1546
103,4:15,4:50,True,-417.19999999998834,0.7385309601403942,300
104,4:15,4:54,False,-672.1999999999574,0.9199151734655022,1546
105,4:15,4:54,True,-258.3999999999776,0.8362484157161083,300
106,4:15,4:55,False,-921.1000000000063,0.8921870427810606,1546
107,4:15,4:55,True,-289.4000000000034,0.8197221703108436,300
108,4:30,4:50,False,-1490.60000000002,0.805234343355152,1546
109,4:30,4:50,True,-567.0999999999907,0.62485942978105,300
110,4:30,4:54,False,-1072.0999999999513,0.8597572142427391,1546
111,4:30,4:54,True,-408.29999999997995,0.7244753357176715,300
112,4:30,4:55,False,-1321.0,0.830593244248378,1546
113,4:30,4:55,True,-439.30000000000575,0.7089957604663466,300
114,4:45,4:50,False,-1435.099999999995,0.763781212450415,1546
115,4:45,4:50,True,-562.4999999999858,0.562052320149494,300
116,4:45,4:54,False,-1016.5999999999264,0.8361591026302332,1546
117,4:45,4:54,True,-403.69999999997503,0.6899147399954066,300
118,4:45,4:55,False,-1265.4999999999752,0.7998924748185551,1546
119,4:45,4:55,True,-434.70000000000084,0.6686990320859687,300
