,Entry (JST),Fix (JST),Gotobi,Total Pips,PF,Trades
0,9:00,9:50,False,-451.2999999999529,0.9586376925826511,1546
1,9:00,9:50,True,740.2000000000243,1.4148405537185587,300
2,9:00,9:54,False,197.8999999999752,1.0182918938903758,1546
3,9:00,9:54,True,909.8000000000098,1.5203912372018589,300
4,9:00,9:55,False,-1560.0000000000243,0.8643100688887326,1546
5,9:00,9:55,True,237.0999999999981,1.1178136645962715,300
6,9:15,9:50,False,-162.7999999999339,0.9826878495927249,1546
7,9:15,9:50,True,533.6000000000183,1.335808684707375,300
8,9:15,9:54,False,486.3999999999942,1.0518981669191858,1546
9,9:15,9:54,True,703.2000000000039,1.4518409047098884,300
10,9:15,9:55,False,-1271.5000000000052,0.8732239892317661,1546
11,9:15,9:55,True,30.499999999992156,1.0163811160642313,300
12,9:30,9:50,False,-197.7999999999447,0.9762510805878464,1546
13,9:30,9:50,True,530.8000000000135,1.3870497302027247,300
14,9:30,9:54,False,451.3999999999834,1.0528905865535565,1546
15,9:30,9:54,True,700.3999999999991,1.5128505528300473,300
16,9:30,9:55,False,-1306.5000000000161,0.8581417822126177,1546
17,9:30,9:55,True,27.699999999987313,1.0164724072312008,300
18,9:40,9:50,False,-61.59999999991874,0.9916814087588393,1545
19,9:40,9:50,True,550.6000000000142,1.4633900016832313,300
20,9:40,9:54,False,586.4000000000093,1.074436080681401,1545
21,9:40,9:54,True,720.1999999999998,1.5856236786469318,300
22,9:40,9:55,False,-1176.4999999999914,0.8627187864644119,1545
23,9:40,9:55,True,47.49999999998806,1.0305741503604455,300
24,9:45,9:50,False,-233.79999999992333,0.9672796484451641,1546
25,9:45,9:50,True,603.00000000002,1.5510875525498329,300
26,9:45,9:54,False,415.40000000000475,1.05384525645845,1546
27,9:45,9:54,True,772.6000000000056,1.6541359749386162,300
28,9:45,9:55,False,-1342.4999999999948,0.8399957093821522,1546
29,9:45,9:55,True,99.89999999999384,1.067545638945229,300
30,9:50,9:54,False,166.0999999999541,1.0227955808687235,1546
31,9:50,9:54,True,732.5999999999965,1.6560988715744147,300
32,9:50,9:55,False,-1591.8000000000454,0.8031680083095257,1546
33,9:50,9:55,True,59.89999999998474,1.0417916695737004,300
